age,balance,duration,campaign,pdays,previous,cluster,anomaly_score,Outlier
56,45,1467,1,-1,0,0,0.09756032332394904,Normal
41,1270,1389,1,-1,0,0,0.12527845114087033,Normal
46,16,188,2,-1,0,0,0.07050768631956328,Normal
57,486,180,2,-1,0,0,0.13780308210452819,Normal
42,50,48,1,-1,0,0,0.0362808430648488,Normal
30,152,213,2,-1,0,0,0.16794618613620887,Normal
60,290,583,1,-1,0,0,0.12527845114087033,Normal
60,54,221,1,-1,0,0,0.10424398420060182,Normal
57,-37,173,1,-1,0,0,0.07558335538405458,Normal
36,101,426,1,-1,0,0,0.04669653756495451,Normal
55,383,287,1,-1,0,0,0.13903080871247497,Normal
60,81,101,1,-1,0,0,0.14039573917844755,Normal
39,0,203,1,-1,0,0,0.16716024839859472,Normal
46,229,197,1,-1,0,0,0.0925422395962327,Normal
44,-674,257,1,-1,0,0,0.16716024839859472,Normal
53,90,124,1,-1,0,0,0.0889096591596989,Normal
52,128,229,1,-1,0,0,0.1514862200170764,Normal
59,179,55,3,-1,0,0,0.15010840435964617,Normal
27,0,400,1,-1,0,0,0.058285770802492975,Normal
44,54,197,1,-1,0,0,0.16716024839859472,Normal
47,151,190,1,-1,0,0,0.14039573917844755,Normal
34,61,21,1,-1,0,0,0.13903080871247497,Normal
59,30,514,1,-1,0,0,0.0830115603270728,Normal
45,523,849,2,-1,0,0,0.04948478949918711,Normal
29,31,194,1,-1,0,0,0.1355244077375128,Normal
46,79,144,1,-1,0,0,0.07558335538405458,Normal
56,-34,212,2,-1,0,0,0.1538406304985639,Normal
36,448,286,1,-1,0,0,0.1514862200170764,Normal
59,81,107,1,-1,0,0,0.07422779630214682,Normal
44,144,247,2,-1,0,0,0.16794618613620887,Normal
41,351,518,1,-1,0,0,0.12527845114087033,Normal
33,-67,364,1,-1,0,0,0.022841614114985087,Normal
59,262,178,1,-1,0,0,0.01840636097463466,Normal
57,0,98,1,-1,0,0,0.12121538713445051,Normal
56,56,439,1,-1,0,0,0.03242429133803826,Normal
51,26,79,1,-1,0,0,0.16716024839859472,Normal
34,3,120,3,-1,0,0,0.07563859751617374,Normal
43,41,127,2,-1,0,0,0.13780308210452819,Normal
52,7,175,1,-1,0,0,0.08090152456452215,Normal
33,105,262,2,-1,0,0,0.12106387145201802,Normal
29,818,61,1,-1,0,0,0.12102996911453906,Normal
34,-16,78,1,-1,0,0,0.16716024839859472,Normal
31,0,143,1,-1,0,0,0.13602735670902544,Normal
55,2476,579,1,-1,0,0,0.0790638223044623,Normal
55,1185,677,1,-1,0,0,-0.006868523130477477,Outlier
32,217,345,1,-1,0,0,0.0830115603270728,Normal
38,1685,185,1,-1,0,0,0.07131128985315305,Normal
55,802,100,2,-1,0,0,0.12106387145201802,Normal
28,0,125,2,-1,0,0,0.059148859910488016,Normal
23,94,193,1,-1,0,0,0.16716024839859472,Normal
32,0,136,1,-1,0,0,0.08522720620845192,Normal
43,0,73,1,-1,0,0,0.030752641016516757,Normal
32,517,528,1,-1,0,0,0.12527845114087033,Normal
46,265,541,1,-1,0,0,0.12527845114087033,Normal
53,947,163,1,-1,0,0,0.07422779630214682,Normal
34,3,301,1,-1,0,0,0.12102996911453906,Normal
57,42,46,1,-1,0,0,0.11316065396431335,Normal
37,37,204,1,-1,0,0,0.16716024839859472,Normal
59,57,98,1,-1,0,0,0.16716024839859472,Normal
33,22,71,1,-1,0,0,0.16716024839859472,Normal
56,8,157,2,-1,0,0,0.07578138522978817,Normal
48,293,243,1,-1,0,0,0.16716024839859472,Normal
43,3,186,2,-1,0,0,0.1538406304985639,Normal
54,348,579,2,-1,0,0,0.10762313345726743,Normal
51,-19,163,2,-1,0,0,0.07950337062334278,Normal
26,0,610,2,-1,0,0,0.08329230169009871,Normal
40,-4,2033,1,-1,0,0,0.04669653756495451,Normal
39,18,85,1,-1,0,0,0.09780268783617513,Normal
50,139,114,2,-1,0,0,0.09030782825085132,Normal
41,0,114,2,-1,0,0,0.13780308210452819,Normal
51,1883,57,1,-1,0,0,0.05841230917762097,Normal
60,216,238,1,-1,0,0,0.1355244077375128,Normal
52,782,93,3,-1,0,0,0.16361110467576595,Normal
48,904,128,2,-1,0,0,0.13780308210452819,Normal
48,1705,107,1,-1,0,0,0.030206991659384896,Normal
39,47,181,1,-1,0,0,0.09283599291935779,Normal
47,176,303,2,-1,0,0,0.12106387145201802,Normal
40,1225,558,5,-1,0,0,0.10486297669432854,Normal
45,86,270,1,-1,0,0,0.16716024839859472,Normal
26,82,228,1,-1,0,0,0.12102996911453906,Normal
52,271,99,1,-1,0,0,0.0925422395962327,Normal
54,1378,240,1,-1,0,0,0.16716024839859472,Normal
54,184,673,2,-1,0,0,0.0758288499475771,Normal
50,0,233,3,-1,0,0,0.11607899189745718,Normal
35,0,1056,1,-1,0,0,0.12527845114087033,Normal
44,1357,250,1,-1,0,0,0.16716024839859472,Normal
53,19,252,1,-1,0,0,0.10424398420060182,Normal
35,434,138,1,-1,0,0,0.03613132957229681,Normal
60,92,130,1,-1,0,0,0.09886988089906829,Normal
53,1151,412,1,-1,0,0,0.09696214447027646,Normal
48,41,179,2,-1,0,0,0.13780308210452819,Normal
34,51,19,2,-1,0,0,0.16794618613620887,Normal
54,214,458,2,-1,0,0,0.1268554532289804,Normal
51,1161,717,1,-1,0,0,0.057838431904806864,Normal
31,37,313,1,-1,0,0,0.14039573917844755,Normal
35,787,683,2,-1,0,0,0.09688753413617918,Normal
35,59,1077,1,-1,0,0,0.12527845114087033,Normal
38,253,416,1,-1,0,0,0.12527845114087033,Normal
36,211,146,2,-1,0,0,0.10666085434032685,Normal
58,235,167,1,-1,0,0,0.11628549596529081,Normal
40,4384,315,1,-1,0,0,0.02770177816094843,Normal
54,4080,140,1,-1,0,0,0.01639722160842283,Normal
34,53,346,1,-1,0,0,0.0830115603270728,Normal
31,0,562,1,-1,0,0,0.022841614114985087,Normal
51,2127,172,1,-1,0,0,0.08709159163061447,Normal
33,377,217,1,-1,0,0,0.0925422395962327,Normal
55,73,142,2,-1,0,0,0.06447513260646531,Normal
42,445,67,1,-1,0,0,0.16716024839859472,Normal
34,243,291,1,-1,0,0,0.16716024839859472,Normal
33,307,309,2,-1,0,0,0.12106387145201802,Normal
38,155,248,1,-1,0,0,0.16716024839859472,Normal
50,173,98,1,-1,0,0,0.08441961346740712,Normal
43,400,256,1,-1,0,0,0.0925422395962327,Normal
61,1428,82,2,-1,0,0,0.11429410975447424,Normal
47,219,577,1,-1,0,0,0.12527845114087033,Normal
48,7,286,1,-1,0,0,0.14039573917844755,Normal
44,575,477,1,-1,0,0,0.12527845114087033,Normal
35,298,611,2,-1,0,0,0.02554870578613888,Normal
35,0,471,1,-1,0,0,0.12527845114087033,Normal
50,5699,381,2,-1,0,0,0.07877806309161395,Normal
41,176,42,1,-1,0,0,0.0925422395962327,Normal
41,517,251,1,-1,0,0,0.0925422395962327,Normal
39,257,408,1,-1,0,0,0.02686267296024125,Normal
42,56,215,1,-1,0,0,0.16716024839859472,Normal
38,-390,287,1,-1,0,0,0.16716024839859472,Normal
53,330,216,2,-1,0,0,0.16794618613620887,Normal
59,195,366,2,-1,0,0,0.04421466087978998,Normal
36,301,210,1,-1,0,0,0.16716024839859472,Normal
54,-41,288,1,-1,0,0,0.1514862200170764,Normal
40,483,168,1,-1,0,0,0.10491546357489018,Normal
47,28,338,2,-1,0,0,0.04364683915106504,Normal
53,13,410,3,-1,0,0,0.04027475186171614,Normal
46,965,177,1,-1,0,0,0.0889096591596989,Normal
39,378,127,2,-1,0,0,0.06447513260646531,Normal
40,219,357,1,-1,0,0,0.12527845114087033,Normal
28,324,175,1,-1,0,0,0.11628549596529081,Normal
35,-69,300,1,-1,0,0,0.1355244077375128,Normal
55,0,136,1,-1,0,0,0.10952992556804281,Normal
43,205,1419,1,-1,0,0,0.03242429133803826,Normal
48,278,125,2,-1,0,0,0.11880547396571489,Normal
58,1065,213,3,-1,0,0,0.043725064448124185,Normal
33,34,27,1,-1,0,0,0.053433841056703235,Normal
36,1033,238,2,-1,0,0,0.07620377717203008,Normal
53,1467,124,1,-1,0,0,0.054099854655281776,Normal
47,-12,18,1,-1,0,0,0.1514862200170764,Normal
31,388,730,2,-1,0,0,0.1268554532289804,Normal
57,294,746,2,-1,0,0,0.1268554532289804,Normal
53,1827,121,1,-1,0,0,0.015432160541339668,Normal
55,627,247,1,-1,0,0,0.1514862200170764,Normal
45,25,40,1,-1,0,0,0.1514862200170764,Normal
53,315,181,2,-1,0,0,0.1362302720490421,Normal
37,0,79,1,-1,0,0,0.1514862200170764,Normal
44,66,206,1,-1,0,0,0.1355244077375128,Normal
49,-9,389,1,-1,0,0,0.0683255095125419,Normal
46,349,127,1,-1,0,0,0.13602735670902544,Normal
43,100,702,1,-1,0,0,0.06536566833042823,Normal
38,0,151,1,-1,0,0,0.10952992556804281,Normal
43,434,117,1,-1,0,0,0.13602735670902544,Normal
49,3237,232,3,-1,0,0,0.04983789335751132,Normal
42,275,408,2,-1,0,0,-0.0063349928187150795,Outlier
22,0,179,2,-1,0,0,0.0857957196876738,Normal
40,207,39,1,-1,0,0,0.0925422395962327,Normal
39,483,282,1,-1,0,0,0.16716024839859472,Normal
51,2248,714,2,-1,0,0,0.07877806309161395,Normal
49,428,50,1,-1,0,0,0.16716024839859472,Normal
53,0,181,1,-1,0,0,0.16716024839859472,Normal
34,0,142,1,-1,0,0,0.08522720620845192,Normal
33,140,227,1,-1,0,0,0.1355244077375128,Normal
50,297,119,1,-1,0,0,0.02178186858391562,Normal
39,279,361,1,-1,0,0,0.10508798621288068,Normal
59,901,73,3,-1,0,0,0.13285924770082308,Normal
30,2573,67,2,-1,0,0,0.06967824330377048,Normal
36,143,350,1,-1,0,0,0.12527845114087033,Normal
40,475,332,2,-1,0,0,0.1268554532289804,Normal
53,70,611,2,-1,0,0,0.1268554532289804,Normal
34,318,113,2,-1,0,0,0.021716537927443103,Normal
37,275,132,1,-1,0,0,0.13602735670902544,Normal
42,742,58,3,-1,0,0,0.0654407741350631,Normal
41,236,151,1,-1,0,0,0.11628549596529081,Normal
30,25,89,2,-1,0,0,0.09368917329685011,Normal
37,600,152,1,-1,0,0,0.02178186858391562,Normal
39,-349,611,2,-1,0,0,0.09688753413617918,Normal
41,183,110,2,-1,0,0,0.11880547396571489,Normal
40,0,463,1,-1,0,0,0.10508798621288068,Normal
42,0,562,2,-1,0,0,0.02275760204455668,Normal
40,0,962,1,-1,0,0,0.0683255095125419,Normal
57,1078,10,4,-1,0,0,0.15760274829639442,Normal
56,155,118,3,-1,0,0,0.07068452244585877,Normal
37,190,92,2,-1,0,0,0.16794618613620887,Normal
59,319,143,3,-1,0,0,0.13193770877220923,Normal
39,-185,189,3,-1,0,0,0.13285924770082308,Normal
49,47,234,2,-1,0,0,0.13865651753894004,Normal
38,570,75,2,-1,0,0,0.12106387145201802,Normal
36,19,189,2,-1,0,0,0.11340665494894492,Normal
50,61,621,3,-1,0,0,0.10204039428423328,Normal
41,-62,55,2,-1,0,0,0.16794618613620887,Normal
54,258,310,4,-1,0,0,0.10315765521389392,Normal
58,76,156,2,-1,0,0,0.11880547396571489,Normal
30,0,5,2,-1,0,0,0.12106387145201802,Normal
33,352,225,2,-1,0,0,0.12106387145201802,Normal
47,368,125,2,-1,0,0,0.13780308210452819,Normal
50,339,2,3,-1,0,0,0.09024493859729632,Normal
32,1331,286,2,-1,0,0,0.16794618613620887,Normal
40,672,164,2,-1,0,0,0.13780308210452819,Normal
37,58,98,2,-1,0,0,0.09264262216626806,Normal
54,447,742,2,-1,0,0,0.02554870578613888,Normal
24,423,226,3,-1,0,0,0.11732403314207085,Normal
54,0,120,2,-1,0,0,0.04250103093190727,Normal
34,19,362,4,-1,0,0,0.11388994634532013,Normal
56,13,357,2,-1,0,0,0.06813866923116463,Normal
31,3,200,2,-1,0,0,0.12106387145201802,Normal
24,82,204,2,-1,0,0,0.12106387145201802,Normal
42,28,126,3,-1,0,0,0.072263933935245,Normal
57,792,65,2,-1,0,0,0.16794618613620887,Normal
42,408,107,2,-1,0,0,0.07950337062334278,Normal
51,531,267,2,-1,0,0,0.16794618613620887,Normal
57,211,248,2,-1,0,0,0.16794618613620887,Normal
36,62,215,2,-1,0,0,0.12106387145201802,Normal
53,257,209,2,-1,0,0,0.10648357981146278,Normal
50,1234,205,2,-1,0,0,0.16794618613620887,Normal
54,313,83,2,-1,0,0,0.09264262216626806,Normal
55,89,106,3,-1,0,0,0.13193770877220923,Normal
44,129,189,2,-1,0,0,0.16794618613620887,Normal
43,0,105,2,-1,0,0,0.027683066033365122,Normal
56,353,106,2,-1,0,0,0.13780308210452819,Normal
54,851,108,2,-1,0,0,0.07950337062334278,Normal
55,96,311,2,-1,0,0,0.11429410975447424,Normal
37,398,214,2,-1,0,0,0.1362302720490421,Normal
33,193,132,2,-1,0,0,0.03798986695840678,Normal
46,-358,358,2,-1,0,0,0.1268554532289804,Normal
36,539,453,2,-1,0,0,0.1268554532289804,Normal
51,0,364,2,-1,0,0,0.08329230169009871,Normal
40,0,136,2,-1,0,0,0.03608507071853284,Normal
42,490,386,2,-1,0,0,0.1268554532289804,Normal
51,0,173,2,-1,0,0,0.13780308210452819,Normal
49,403,241,2,-1,0,0,0.10648357981146278,Normal
48,161,224,3,-1,0,0,0.09220877553907608,Normal
32,2558,148,2,-1,0,0,0.016572580507264068,Normal
31,98,196,2,-1,0,0,0.12106387145201802,Normal
55,115,111,4,-1,0,0,-0.0016098804148748647,Outlier
40,436,231,3,-1,0,0,0.11732403314207085,Normal
47,831,316,3,-1,0,0,0.13797888960564075,Normal
57,206,216,3,-1,0,0,0.10397459005058013,Normal
41,290,240,2,-1,0,0,0.16794618613620887,Normal
48,1,669,3,-1,0,0,0.09291561014937927,Normal
42,57,425,2,-1,0,0,0.06793091834644094,Normal
30,-457,143,2,-1,0,0,0.0857957196876738,Normal
58,1387,174,5,-1,0,0,0.0076163087392046025,Normal
45,24598,313,3,-1,0,0,0.03046941353119792,Normal
49,30,135,4,-1,0,0,0.1261056016889438,Normal
42,1022,146,2,-1,0,0,0.0857957196876738,Normal
53,56,152,2,-1,0,0,0.13780308210452819,Normal
51,-2,402,3,-1,0,0,0.055600025174528,Normal
32,121,213,2,-1,0,0,0.12106387145201802,Normal
41,842,144,3,-1,0,0,0.08029609982429209,Normal
43,693,124,3,-1,0,0,0.042534628377733474,Normal
40,-333,183,2,-1,0,0,0.1362302720490421,Normal
50,1533,325,2,-1,0,0,0.05745426891404504,Normal
34,46,39,4,-1,0,0,0.08204777651860595,Normal
53,18,503,2,-1,0,0,0.04364683915106504,Normal
45,44,95,4,-1,0,0,0.15760274829639442,Normal
39,-100,680,2,-1,0,0,0.10762313345726743,Normal
44,510,421,4,-1,0,0,0.08752291299141945,Normal
55,685,174,3,-1,0,0,0.05994992215417494,Normal
46,187,113,2,-1,0,0,0.021716537927443103,Normal
45,66,808,2,-1,0,0,0.1268554532289804,Normal
34,560,198,3,-1,0,0,0.16361110467576595,Normal
36,0,195,2,-1,0,0,0.16794618613620887,Normal
59,27,347,3,-1,0,0,0.003265177426904242,Normal
31,12,208,2,-1,0,0,0.12106387145201802,Normal
44,34,404,4,-1,0,0,0.07043661721093808,Normal
33,1068,396,2,-1,0,0,0.05986796988151988,Normal
40,211,216,4,-1,0,0,0.15760274829639442,Normal
46,377,98,2,-1,0,0,0.09368917329685011,Normal
48,263,350,2,-1,0,0,0.04948478949918711,Normal
42,1263,114,2,-1,0,0,0.1394552645040253,Normal
27,8,88,3,-1,0,0,0.16616922598863804,Normal
48,126,379,2,-1,0,0,0.13130529340003932,Normal
59,230,190,3,-1,0,0,0.16616922598863804,Normal
46,841,158,1,-1,0,0,0.10651794944009435,Normal
38,308,102,1,-1,0,0,0.13746116830848465,Normal
43,1,306,1,-1,0,0,0.06999396310899875,Normal
38,86,218,1,-1,0,0,0.11053563185497373,Normal
23,157,54,1,-1,0,0,0.12049899897142685,Normal
34,22,344,1,-1,0,0,0.12958962188320367,Normal
38,46,195,1,-1,0,0,0.16952944690091676,Normal
37,1293,652,1,-1,0,0,0.09973471021723657,Normal
25,122,286,1,-1,0,0,0.12049899897142685,Normal
48,131,189,1,-1,0,0,0.10536679865930398,Normal
49,143,83,1,-1,0,0,0.12049899897142685,Normal
38,393,184,2,-1,0,0,0.09650514385177483,Normal
43,98,235,1,-1,0,0,0.15291557067354306,Normal
33,0,290,1,-1,0,0,0.0947839503974599,Normal
55,224,232,1,-1,0,0,0.16952944690091676,Normal
38,757,133,1,-1,0,0,0.13755724619326865,Normal
49,245,318,1,-1,0,0,0.16952944690091676,Normal
40,8486,260,3,-1,0,0,0.03935222183715947,Normal
43,350,437,1,-1,0,0,0.04563064132744088,Normal
38,20,402,1,-1,0,0,0.12958962188320367,Normal
58,1667,85,1,-1,0,0,0.11914115702914718,Normal
57,345,125,1,-1,0,0,0.07627519257745619,Normal
32,10,501,4,-1,0,0,0.11894310875455844,Normal
56,830,1201,1,-1,0,0,0.048802106848524485,Normal
58,29,253,1,-1,0,0,0.07107653735853325,Normal
60,545,1030,1,-1,0,0,0.09979169447964564,Normal
37,8730,149,1,-1,0,0,0.061609389233969636,Normal
46,477,114,1,-1,0,0,0.07260471349671904,Normal
27,4,243,1,-1,0,0,0.16952944690091676,Normal
43,1205,769,2,-1,0,0,0.13130529340003932,Normal
32,0,135,3,-1,0,0,0.08004069278184012,Normal
40,263,231,1,-1,0,0,0.12049899897142685,Normal
38,1,76,1,-1,0,0,0.14020813584335395,Normal
34,283,199,1,-1,0,0,0.14020813584335395,Normal
47,206,152,1,-1,0,0,0.11733909724607827,Normal
42,17,124,1,-1,0,0,0.11733909724607827,Normal
48,141,424,1,-1,0,0,0.12958962188320367,Normal
29,16,43,1,-1,0,0,0.0933622841645978,Normal
50,206,154,1,-1,0,0,0.13755724619326865,Normal
52,7,203,2,-1,0,0,0.07645711900009766,Normal
50,0,326,1,-1,0,0,0.032739299099411534,Normal
58,0,393,1,-1,0,0,0.0753174321959702,Normal
46,1927,241,3,-1,0,0,0.057278380029454956,Normal
38,284,483,1,-1,0,0,0.12958962188320367,Normal
46,1660,259,1,-1,0,0,0.11914115702914718,Normal
32,406,227,1,-1,0,0,0.12049899897142685,Normal
51,230,673,1,-1,0,0,0.10923938217327789,Normal
39,-25,576,1,-1,0,0,0.08347606220058323,Normal
48,182,180,2,-1,0,0,0.1394552645040253,Normal
36,1169,168,2,-1,0,0,0.1082575125995685,Normal
34,67,90,1,-1,0,0,0.13746116830848465,Normal
40,77,505,1,-1,0,0,0.09973471021723657,Normal
43,0,245,1,-1,0,0,0.16952944690091676,Normal
52,55,186,1,-1,0,0,0.11507339236402286,Normal
33,72,623,1,-1,0,0,0.12958962188320367,Normal
49,163,496,3,-1,0,0,0.018343342070752278,Normal
32,151,118,1,-1,0,0,0.022753315868238255,Normal
39,113,342,1,-1,0,0,0.08347606220058323,Normal
40,0,225,1,-1,0,0,0.16952944690091676,Normal
38,9,185,3,-1,0,0,0.09094112107248292,Normal
43,375,196,2,-1,0,0,0.09814387693036264,Normal
39,1142,276,1,-1,0,0,0.16952944690091676,Normal
54,2102,76,1,-1,0,0,0.09665853943617608,Normal
38,4325,87,1,-1,0,0,0.052606768114497604,Normal
40,217,195,1,-1,0,0,0.16952944690091676,Normal
55,131,744,1,-1,0,0,0.12958962188320367,Normal
42,1680,765,1,-1,0,0,0.011543108031299432,Normal
39,0,262,1,-1,0,0,0.16952944690091676,Normal
40,46,119,1,-1,0,0,0.11733909724607827,Normal
32,320,198,2,-1,0,0,0.17043034692174003,Normal
55,183,150,1,-1,0,0,0.13755724619326865,Normal
45,39,241,1,-1,0,0,0.14020813584335395,Normal
35,560,181,1,-1,0,0,0.05377500931344115,Normal
58,469,196,1,-1,0,0,0.11035109644026314,Normal
35,530,149,1,-1,0,0,0.13755724619326865,Normal
49,61,246,1,-1,0,0,0.15291557067354306,Normal
34,242,112,1,-1,0,0,0.05935927785302664,Normal
36,139,309,2,-1,0,0,0.17043034692174003,Normal
24,0,278,1,-1,0,0,0.12049899897142685,Normal
34,367,140,1,-1,0,0,0.13755724619326865,Normal
51,228,136,1,-1,0,0,0.10029973861514874,Normal
39,45248,1623,1,-1,0,0,-0.014248093572731269,Outlier
50,-84,101,1,-1,0,0,0.10536679865930398,Normal
32,310,144,1,-1,0,0,0.08491469598906753,Normal
42,132,238,1,-1,0,0,0.10536679865930398,Normal
50,797,354,1,-1,0,0,0.12958962188320367,Normal
40,71,79,1,-1,0,0,0.14020813584335395,Normal
46,2,187,1,-1,0,0,0.013659736376183784,Normal
37,231,451,2,-1,0,0,0.05175982661079492,Normal
34,270,159,1,-1,0,0,0.13755724619326865,Normal
44,274,409,1,-1,0,0,0.12958962188320367,Normal
40,-109,170,1,-1,0,0,0.08491469598906753,Normal
37,1,608,1,-1,0,0,0.12958962188320367,Normal
33,-60,243,1,-1,0,0,0.09901222833216405,Normal
35,89,145,2,-1,0,0,0.1394552645040253,Normal
58,-11,112,1,-1,0,0,0.07668165205572441,Normal
39,0,262,2,-1,0,0,0.15484757884742867,Normal
43,-509,124,1,-1,0,0,0.13755724619326865,Normal
39,408,53,1,-1,0,0,0.15291557067354306,Normal
36,58,134,1,-1,0,0,0.057958566952795554,Normal
57,1640,204,4,-1,0,0,0.04896232615284524,Normal
36,20,186,1,-1,0,0,0.12049899897142685,Normal
50,71,678,1,-1,0,0,0.10923938217327789,Normal
55,52,182,1,-1,0,0,0.16952944690091676,Normal
44,292,162,1,-1,0,0,0.10651794944009435,Normal
44,424,27,1,-1,0,0,0.13746116830848465,Normal
39,109,699,3,-1,0,0,0.048742052378176304,Normal
46,1044,43,1,-1,0,0,0.10536679865930398,Normal
39,983,97,1,-1,0,0,0.16952944690091676,Normal
34,869,1677,1,-1,0,0,0.09973471021723657,Normal
40,668,283,2,-1,0,0,0.15484757884742867,Normal
50,964,323,1,-1,0,0,0.048802106848524485,Normal
31,301,82,1,-1,0,0,0.056171747255620574,Normal
37,140,310,1,-1,0,0,0.12049899897142685,Normal
39,1877,185,1,-1,0,0,0.021065366989583167,Normal
51,1127,47,1,-1,0,0,0.15291557067354306,Normal
41,871,145,1,-1,0,0,0.13755724619326865,Normal
41,767,204,1,-1,0,0,0.16952944690091676,Normal
43,0,187,1,-1,0,0,0.14020813584335395,Normal
30,209,30,2,-1,0,0,0.12082370859299069,Normal
54,0,472,1,-1,0,0,-0.005280910741942035,Outlier
43,110,448,1,-1,0,0,0.09979169447964564,Normal
59,-76,264,1,-1,0,0,0.06999396310899875,Normal
47,178,169,1,-1,0,0,0.07627519257745619,Normal
40,-66,288,1,-1,0,0,0.15291557067354306,Normal
32,0,176,2,-1,0,0,0.1394552645040253,Normal
29,1,215,1,-1,0,0,0.16952944690091676,Normal
36,0,337,1,-1,0,0,0.12958962188320367,Normal
